File,node db band,node reg band,node stat band,php db band,php reg band,php stat band,node db mean,node reg mean,node stat mean,php db mean,php reg mean,php stat mean
0,82.09,1.21,0.40,93.61,0.11,0.55,12.181,823.647,2491.676,10.683,9244.795,1831.005
1,81.42,1.06,0.39,95.42,0.11,0.54,12.283,947.288,2572.247,10.480,9360.235,1862.507
2,79.62,1.02,0.38,99.60,0.11,0.57,12.560,976.589,2615.183,10.040,8801.537,1762.034
3,81.55,1.04,0.39,96.17,0.12,0.54,12.262,957.788,2574.447,10.398,8133.765,1856.873
4,82.66,1.21,0.40,94.68,0.12,0.56,12.098,826.414,2504.643,10.562,8155.933,1795.003
5,84.72,1.16,0.41,97.81,0.11,0.53,11.803,858.782,2435.906,10.224,9366.536,1879.741
6,79.19,1.02,0.38,95.28,0.11,0.55,12.627,978.923,2608.949,10.495,9344.134,1834.705
7,80.07,1.04,0.39,98.39,0.12,0.56,12.489,958.955,2591.182,10.164,8165.534,1770.501
8,83.96,1.21,0.41,97.31,0.11,0.56,11.911,825.414,2455.407,10.277,8712.865,1798.370
9,84.42,1.21,0.41,96.99,0.12,0.55,11.845,825.614,2451.707,10.310,8307.975,1810.370
