Concurrency Level,Node Bandwidth,Node Concurrent Mean,Node Mean,Node Longest,PHP Bandwidth,PHP Concurrent Mean,PHP Mean,PHP Longest
2,232.612,4.2994,8.5988,46.8,273.982,3.6502,7.3,99.8
4,272.882,3.665,14.6604,59,286.75,3.4876,13.95,62.4
8,269.498,3.7106,29.6848,84.2,282.172,3.5442,28.3544,131
16,267.458,3.7388,59.8242,140.6,276.746,3.621,57.9372,767.2
32,268.04,3.7308,119.3888,196.6,286.944,3.485,111.5214,171.8
64,268.016,3.7312,238.7976,337.2,285.544,3.5022,224.1412,305.8
128,250.672,4.01,513.2584,832.8,275.068,3.6398,465.8942,636.6
256,232.776,4.3386,1110.7018,1550.4,230.526,4.371,1118.9288,5834.4
512,249.814,4.0098,2053.0336,3344.4,70.166,14.253,7297.438,9693.8
1024,253.366,3.9498,4044.7252,4667.6,68.86,14.5236,14872.1924,17887
2048,227.866,4.4002,9011.4942,12717.4,68.682,14.5616,29822.34,32856.6
4096,229.068,4.3854,17962.9248,20155.4,68.296,14.6438,59980.782,63133.6
8192,226.942,4.4162,36178.8842,36931.4,66.27,15.0922,123636.9598,124506.8
