File,Node.js bandwidth,Apache/PHP bandwidth,Node.js mean,Apache/PHP mean,Node.js longest,Apache/PHP longest
0,82.09,93.61,779.609,683.706,4288,3371
1,81.42,95.42,786.080,670.726,4987,4520
2,79.62,99.60,803.816,642.565,4782,2471
3,81.55,96.17,784.794,665.465,4810,4430
4,82.66,94.68,774.265,675.975,5624,4420
5,84.72,97.81,755.422,654.335,4718,2225
6,79.19,95.28,808.155,671.693,5015,2395
7,80.07,98.39,799.323,650.501,4950,2251
8,83.96,97.31,762.284,657.721,5626,2209
9,84.42,96.99,758.091,659.859,4422,2215
